TreeDepth,SID,Service
0,S-1-5-80-3742302039-178175996-3312716580-300089339-184318439,BthEnum
0,S-1-5-80-1566322655-4174396379-2133637435-1403765164-753964829,BthPan
0,S-1-5-80-3533787624-3536623824-1878644040-3113243162-1610647180,BTHUSB
0,S-1-5-80-1708301557-710215499-1045718168-382692165-3542596111,HdAudAddService
0,S-1-5-80-2932307366-730193993-4255125875-3321969383-2534286350,RFCOMM
0,S-1-5-80-3547539953-1452514991-991928397-2821742631-2888215071,TsUsbFlt
0,S-1-5-80-651631395-3385332028-373277408-2457879084-1955742111,TsUsbGD
0,S-1-5-80-2597382502-3270435603-1328819508-2748651462-4181269338,VGAuthService
0,S-1-5-80-2713566713-2012099321-1704287870-164250842-2950185051,VMMemCtl
0,S-1-5-80-776895389-3455876703-3891955142-3754958615-2990024371,vmusbmouse
0,S-1-5-80-2779368448-1793250562-3292802066-585056660-3968973768,VMware Physical Disk Helper Service
0,S-1-5-80-2242439072-2748315084-1023843057-2543101977-728157120,vsock
0,S-1-5-80-2627646674-1902363623-4018313896-1241371782-2425154658,{33856CCE-7836-45DB-AC82-729CE0FAEA7E}
0,S-1-5-80-3777314634-785372084-3885276379-1786014155-3277164980,{DB881464-8C68-478B-AA27-21BE145DACC8}

