TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xc9c7f8,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,404,wininit.exe,N/A
0,0xc9c7f8,TCPv6,::,49152,::,0,LISTENING,404,wininit.exe,N/A
0,0x66207d8,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,936,svchost.exe,N/A
0,0x6620ed0,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,936,svchost.exe,N/A
0,0x6620ed0,TCPv6,::,49154,::,0,LISTENING,936,svchost.exe,N/A
0,0x9670ba0,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,776,svchost.exe,N/A
0,0x9670ba0,TCPv6,::,49153,::,0,LISTENING,776,svchost.exe,N/A
0,0x9b309c0,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,404,wininit.exe,N/A
0,0x9c30108,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,724,svchost.exe,N/A
0,0xa3b7008,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,776,svchost.exe,N/A
0,0x3cb938e0,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,724,svchost.exe,N/A
0,0x3cb938e0,TCPv6,::,135,::,0,LISTENING,724,svchost.exe,N/A
0,0x3d82f7a8,UDPv4,0.0.0.0,68,*,0,,776,svchost.exe,2023-04-24 14:48:50.000000 
0,0x3d8db410,UDPv6,::1,1900,*,0,,2408,svchost.exe,2023-04-24 14:55:52.000000 
0,0x3d8ee9d0,UDPv4,0.0.0.0,52707,*,0,,1052,svchost.exe,2023-04-24 14:56:22.000000 
0,0x3d8eec90,UDPv4,0.0.0.0,5355,*,0,,1120,svchost.exe,2023-04-24 14:59:30.000000 
0,0x3d9050f8,UDPv4,192.168.64.133,1900,*,0,,2408,svchost.exe,2023-04-24 14:55:52.000000 
0,0x3d905268,UDPv6,fe80::e10d:dc70:b68b:a15b,1900,*,0,,2408,svchost.exe,2023-04-24 14:55:52.000000 
0,0x3d90d430,TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,N/A
0,0x3d90d430,TCPv6,::,5357,::,0,LISTENING,4,System,N/A
0,0x3d911cd8,UDPv4,0.0.0.0,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3d911cd8,UDPv6,::,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3d912ab8,UDPv4,0.0.0.0,58295,*,0,,2408,svchost.exe,2023-04-24 14:41:46.000000 
0,0x3d912ab8,UDPv6,::,58295,*,0,,2408,svchost.exe,2023-04-24 14:41:46.000000 
0,0x3d912f50,UDPv4,0.0.0.0,58294,*,0,,2408,svchost.exe,2023-04-24 14:41:46.000000 
0,0x3d914540,UDPv4,0.0.0.0,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3d914540,UDPv6,::,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3d917008,TCPv4,-,5357,192.168.64.1,16456,CLOSED,4,System,N/A
0,0x3d917920,UDPv4,0.0.0.0,58990,*,0,,1052,svchost.exe,2023-04-24 14:56:00.000000 
0,0x3d919740,UDPv4,0.0.0.0,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3d9268f0,UDPv4,0.0.0.0,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3d9268f0,UDPv6,::,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3d9278b0,UDPv4,0.0.0.0,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3da22c90,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,476,services.exe,N/A
0,0x3da22c90,TCPv6,::,49155,::,0,LISTENING,476,services.exe,N/A
0,0x3da51400,TCPv4,0.0.0.0,49159,0.0.0.0,0,LISTENING,484,lsass.exe,N/A
0,0x3da51400,TCPv6,::,49159,::,0,LISTENING,484,lsass.exe,N/A
0,0x3da66008,TCPv4,192.168.64.133,139,0.0.0.0,0,LISTENING,4,System,N/A
0,0x3da661c0,UDPv4,0.0.0.0,0,*,0,,1120,svchost.exe,2023-04-24 14:59:30.000000 
0,0x3da661c0,UDPv6,::,0,*,0,,1120,svchost.exe,2023-04-24 14:59:30.000000 
0,0x3da667b0,UDPv4,192.168.64.133,68,*,0,,776,svchost.exe,2023-04-24 14:59:30.000000 
0,0x3dab7540,UDPv4,0.0.0.0,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3dabfb60,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,476,services.exe,N/A
0,0x3dabff50,UDPv6,fe80::e10d:dc70:b68b:a15b,546,*,0,,776,svchost.exe,2023-04-24 14:48:56.000000 
0,0x3db88e98,UDPv4,0.0.0.0,5355,*,0,,1120,svchost.exe,2023-04-24 14:59:30.000000 
0,0x3db88e98,UDPv6,::,5355,*,0,,1120,svchost.exe,2023-04-24 14:59:30.000000 
0,0x3db94be8,UDPv4,0.0.0.0,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3db94be8,UDPv6,::,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3db9e7a8,TCPv4,0.0.0.0,49159,0.0.0.0,0,LISTENING,484,lsass.exe,N/A
0,0x3df59b00,UDPv4,0.0.0.0,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x3e7330f0,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,N/A
0,0x3e7330f0,TCPv6,::,445,::,0,LISTENING,4,System,N/A
0,0x3e871668,TCPv4,-,5357,192.168.64.1,16455,CLOSED,4,System,-
0,0x3e9ea140,TCPv4,-,5357,192.228.79.201,49170,CLOSED,4,System,N/A
0,0x3edc71e0,UDPv4,127.0.0.1,1900,*,0,,2408,svchost.exe,2023-04-24 14:55:52.000000 
0,0x3fc3bbf0,UDPv6,fe80::e10d:dc70:b68b:a15b,57630,*,0,,2408,svchost.exe,2023-04-24 14:55:53.000000 
0,0x3fca4d00,UDPv6,::1,57631,*,0,,2408,svchost.exe,2023-04-24 14:55:53.000000 
0,0x3fcfb948,UDPv4,192.168.64.133,137,*,0,,4,System,2023-04-24 14:55:52.000000 
0,0x3fcfd5f0,UDPv4,0.0.0.0,52708,*,0,,1052,svchost.exe,2023-04-24 14:56:22.000000 
0,0x3fcfd5f0,UDPv6,::,52708,*,0,,1052,svchost.exe,2023-04-24 14:56:22.000000 
0,0x3fd00cd8,UDPv4,192.168.64.133,57632,*,0,,2408,svchost.exe,2023-04-24 14:55:53.000000 
0,0x3fd2a4e8,UDPv4,0.0.0.0,58991,*,0,,1052,svchost.exe,2023-04-24 14:56:00.000000 
0,0x3fd2a4e8,UDPv6,::,58991,*,0,,1052,svchost.exe,2023-04-24 14:56:00.000000 
0,0x3fd3f310,TCPv4,-,49170,192.228.79.201,5357,CLOSED,1052,svchost.exe,-
0,0x3fd593f0,UDPv4,127.0.0.1,57633,*,0,,2408,svchost.exe,2023-04-24 14:55:53.000000 

